PermitType,PermitNum,Description,StatusCurrent,AppliedDate,CompletedDate,Applicant,FromLUD,ProposedLUD,Address,LocationAddresses,LocationCount,Latitude,Longitude,multipoint
LU / OP / Closure (LOC),LOC1982-0024,Converted Job - Land Use Amendment,Approved,1982/02/10,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0025,Converted Job - Land Use Amendment,Approved,1982/02/11,1984/07/30,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0026,Converted Job - Land Use Amendment,Cancelled,1982/02/01,1982/02/22,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0027,Converted Job - Land Use Amendment,Approved,1982/02/01,1982/05/10,,,,2840 12 AV SE,2840 12 AV SE,1,51.04209071783674,-113.99343011779847,MULTIPOINT ((-113.993430117798 51.042090717837))
LU / OP / Closure (LOC),LOC1982-0028,Converted Job - Land Use Amendment,Approved,1982/02/16,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0029,Converted Job - Land Use Amendment,Approved,1982/02/16,1982/10/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0030,Converted Job - Land Use Amendment,Approved,1982/02/16,1982/06/21,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0031,Converted Job - Land Use Amendment,Refused,1982/02/18,1982/09/20,,,,1424 19 AV NW,1424 19 AV NW,1,51.06974899642305,-114.09376280307958,MULTIPOINT ((-114.09376280308 51.069748996423))
LU / OP / Closure (LOC),LOC1982-0032,Converted Job - Land Use Amendment,Cancelled,1982/02/19,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0033,Converted Job - Land Use Amendment,Approved,1982/02/19,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0034,Converted Job - Land Use Amendment,Approved,1982/02/23,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0035,Converted Job - Land Use Amendment,Refused,1982/03/31,1982/05/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1998-2019,Converted Job - Outline Plan,Under Review,1998/04/29,,DILLON CONSULTING,,,16920 24 ST SW,,,,,
LU / OP / Closure (LOC),LOC1982-0036,Converted Job - Land Use Amendment,Cancelled,1982/02/24,1983/06/13,,,,1920 PUMPHOUSE RD SW,1920 PUMPHOUSE RD SW,1,51.046640098308195,-114.10606718293589,MULTIPOINT ((-114.106067182936 51.046640098308))
LU / OP / Closure (LOC),LOC1982-0037,Converted Job - Land Use Amendment,Cancelled,1982/02/24,1982/10/29,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0038,Converted Job - Land Use Amendment,Refused,1982/02/25,1982/09/07,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0039,Converted Job - Land Use Amendment,Approved,1982/03/01,1982/10/04,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0040,Converted Job - Land Use Amendment,Approved,1982/03/02,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0041,Converted Job - Land Use Amendment,Approved,1982/03/02,1982/12/05,,,,7019 CHRISTIE BRIAR MR SW,7019 CHRISTIE BRIAR MR SW,1,51.0384134680811,-114.18591114757476,MULTIPOINT ((-114.185911147575 51.038413468081))
LU / OP / Closure (LOC),LOC1982-0042,Converted Job - Land Use Amendment,Approved,1982/03/02,1982/06/15,,,,1002 14 AV SW,1002 14 AV SW,1,51.04023837381284,-114.0843450510552,MULTIPOINT ((-114.084345051055 51.040238373813))
LU / OP / Closure (LOC),LOC1982-0043,Converted Job - Land Use Amendment,Cancelled,1982/03/02,1983/03/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0044,Converted Job - Land Use Amendment,Approved,1982/03/03,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC2000-5006,Converted Job - Road Closure,Under Review,2000/03/20,,KELLAM BERG ENGINEERING & SURVEYS LTD,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0045,Converted Job - Land Use Amendment,Approved,1982/03/04,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0046,Converted Job - Land Use Amendment,Cancelled,1982/03/04,1985/06/30,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0047,Converted Job - Land Use Amendment,Approved,1982/03/05,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0048,Converted Job - Land Use Amendment,Cancelled,1982/03/09,1983/02/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0049,Converted Job - Land Use Amendment,Approved,1982/03/10,1982/07/20,,,,3900 52 ST SE,3900 52 ST SE,1,51.01772772928735,-113.95809124407431,MULTIPOINT ((-113.958091244074 51.017727729287))
LU / OP / Closure (LOC),LOC1982-0050,Converted Job - Land Use Amendment,Approved,1982/03/11,1982/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC2000-5021,Converted Job - Road Closure,Approved,2000/06/05,,CITY OF CALGARY,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0051,Converted Job - Land Use Amendment,Approved,1982/03/16,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0052,Converted Job - Land Use Amendment,Approved,1982/03/15,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0053,Converted Job - Land Use Amendment,Approved,1982/03/17,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0054,Converted Job - Land Use Amendment,Cancelled,1982/03/19,1982/04/30,,,,,,,,,
LU / OP / Closure (LOC),LOC2014-0047,"Land Use Amendment - to accommodate existing retail, entertainment,food service, storage and camping facilities",Approved,2014/03/25,2015/07/23,URBAN SYSTEMS,S-FUD,DC/S-FUD,14555 SYMONS VALLEY RD NW,14555 SYMONS VALLEY RD NW,1,51.183854153375904,-114.13567280837398,MULTIPOINT ((-114.135672808374 51.183854153376))
LU / OP / Closure (LOC),LOC1982-0055,Converted Job - Land Use Amendment,Approved,1982/03/23,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0056,Converted Job - Land Use Amendment,Approved,1982/03/23,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0057,Converted Job - Land Use Amendment,Approved,1982/03/23,1982/06/14,,,,4500 39 ST NW,4500 39 ST NW,1,51.09279150634108,-114.14452248479971,MULTIPOINT ((-114.1445224848 51.092791506341))
LU / OP / Closure (LOC),LOC1982-0058,Converted Job - Land Use Amendment,Approved,1982/03/24,1982/06/15,,,,3 CASTLERIDGE DR NE,3 CASTLERIDGE DR NE,1,51.10676814463845,-113.95032659265985,MULTIPOINT ((-113.95032659266 51.106768144638))
LU / OP / Closure (LOC),LOC1982-0059,Converted Job - Land Use Amendment,Approved,1982/03/25,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0060,Converted Job - Land Use Amendment,Approved,1982/03/24,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0061,Converted Job - Land Use Amendment,Cancelled,1982/03/24,1982/07/20,,,,901 68 ST SE,901 68 ST SE,1,51.04309722702052,-113.93532505451667,MULTIPOINT ((-113.935325054517 51.043097227021))
LU / OP / Closure (LOC),LOC1982-0062,Converted Job - Land Use Amendment,Approved,1982/03/25,1982/09/07,,,,4818 17 AV SE,4818 17 AV SE,1,51.0379726066946,-113.96479988408935,MULTIPOINT ((-113.964799884089 51.037972606695))
LU / OP / Closure (LOC),LOC1982-0063,Converted Job - Land Use Amendment,Approved,1982/03/25,1982/09/08,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0064,Converted Job - Land Use Amendment,Approved,1982/03/26,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0065,Converted Job - Land Use Amendment,Approved,1982/03/26,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0066,Converted Job - Land Use Amendment,Cancelled,1982/03/30,1982/12/22,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0067,Converted Job - Land Use Amendment,Approved,1982/03/30,1982/07/19,,,,522 18 AV SW,522 18 AV SW,1,51.037053611011615,-114.07285209179955,MULTIPOINT ((-114.0728520918 51.037053611012))
LU / OP / Closure (LOC),LOC1982-0068,Converted Job - Land Use Amendment,Approved,1982/03/31,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0069,Converted Job - Land Use Amendment,Approved,1982/04/01,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0070,Converted Job - Land Use Amendment,Approved,1982/04/02,1982/10/04,,,,1520 96 AV SW,1520 96 AV SW,1,50.96703462877839,-114.09726691790644,MULTIPOINT ((-114.097266917906 50.967034628778))
LU / OP / Closure (LOC),LOC1982-0071,Converted Job - Land Use Amendment,Approved,1982/04/20,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0072,Converted Job - Land Use Amendment,Approved,1982/04/05,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0073,Converted Job - Land Use Amendment,Approved,1982/04/06,1982/07/20,,,,523 73 AV SW,523 73 AV SW,1,50.98769668211869,-114.07538820909613,MULTIPOINT ((-114.075388209096 50.987696682119))
LU / OP / Closure (LOC),LOC1982-0074,Converted Job - Land Use Amendment,Cancelled,1982/04/07,1982/11/01,,,,902 20 AV NW,902 20 AV NW,1,51.07065325759343,-114.08164067647962,MULTIPOINT ((-114.08164067648 51.070653257593))
LU / OP / Closure (LOC),LOC1982-0075,Converted Job - Land Use Amendment,Approved,1982/04/08,1982/06/15,,,,811 14 ST NW,811 14 ST NW,1,51.05904647018787,-114.09496988450701,MULTIPOINT ((-114.094969884507 51.059046470188))
LU / OP / Closure (LOC),LOC1982-0076,Converted Job - Land Use Amendment,Approved,1982/04/12,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC2017-0226,See LOC2017-0232,Cancelled,2017/08/04,2017/08/14,IBI GROUP,DC;DC;DC;DC,M-H2;DC/C-C2;DC/C-COR2;S-SPR,14555 SYMONS VALLEY RD NW,14555 SYMONS VALLEY RD NW,1,51.183854153375904,-114.13567280837398,MULTIPOINT ((-114.135672808374 51.183854153376))
LU / OP / Closure (LOC),LOC2017-0232,"Policy Amendment, Land Use Amendment and Outline Plan",Approved,2017/08/14,2019/05/01,IBI GROUP,DC;DC;DC,DC/C-C2;DC/C-C2;S-SPR,14555 SYMONS VALLEY RD NW,14555 SYMONS VALLEY RD NW,1,51.183854153375904,-114.13567280837398,MULTIPOINT ((-114.135672808374 51.183854153376))
LU / OP / Closure (LOC),LOC1982-0077,Converted Job - Land Use Amendment,Refused,1982/04/15,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC2021-0180,Land Use Amendment to accomodate MU-2,Submitted,2021/10/29,,,C-COR2 f1.0h10,MU-2,1212 EDMONTON TR NE,1212 EDMONTON TR NE,1,51.06300819908242,-114.05576190215841,MULTIPOINT ((-114.055761902158 51.063008199082))
LU / OP / Closure (LOC),LOC1982-0078,Converted Job - Land Use Amendment,Approved,1982/04/15,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0079,Converted Job - Land Use Amendment,Approved,1982/04/19,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1999-0081,Converted Job - Land Use Amendment,Approved,1999/07/19,2000/01/17,,,,945 37 ST SW,945 37 ST SW,1,51.043402352923934,-114.14139514509627,MULTIPOINT ((-114.141395145096 51.043402352924))
LU / OP / Closure (LOC),LOC1982-0080,Converted Job - Land Use Amendment,Approved,1982/04/19,1982/06/15,,,,612 FORITANA RD SE,612 FORITANA RD SE,1,51.04880633793409,-113.96166655318397,MULTIPOINT ((-113.961666553184 51.048806337934))
LU / OP / Closure (LOC),LOC1982-0081,Converted Job - Land Use Amendment,Approved,1982/04/19,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0082,Converted Job - Land Use Amendment,Approved,1982/04/19,1982/10/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0083,Converted Job - Land Use Amendment,Approved,1982/04/20,1982/12/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0084,Converted Job - Land Use Amendment,Approved,1982/04/21,1987/10/05,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0085,Converted Job - Land Use Amendment,Approved,1982/04/21,1982/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0086,Converted Job - Land Use Amendment,Refused,1982/04/22,1982/07/19,,,,8544 47 AV NW,8544 47 AV NW,1,51.09509232947139,-114.21060834774173,MULTIPOINT ((-114.210608347742 51.095092329471))
LU / OP / Closure (LOC),LOC1982-0087,Converted Job - Land Use Amendment,Cancelled,1982/04/23,1982/10/12,,,,4 CASTLEBROOK DR NE,4 CASTLEBROOK DR NE,1,51.10326572599116,-113.95653184084144,MULTIPOINT ((-113.956531840841 51.103265725991))
LU / OP / Closure (LOC),LOC1982-0088,Converted Job - Land Use Amendment,Refused,1982/04/29,1982/11/08,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0089,Converted Job - Land Use Amendment,Approved,1982/04/29,1982/12/06,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0090,Converted Job - Land Use Amendment,Approved,1982/04/30,1982/07/19,,,,513 11 AV SW,513 11 AV SW,1,51.04252292656803,-114.07243046102289,MULTIPOINT ((-114.072430461023 51.042522926568))
LU / OP / Closure (LOC),LOC1982-0091,Converted Job - Land Use Amendment,Refused,1982/05/06,1982/09/08,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0092,Converted Job - Land Use Amendment,Cancelled,1982/05/10,1982/09/02,,,,5815 BOW CR NW,5815 BOW CR NW,1,51.080385398986174,-114.17240919010217,MULTIPOINT ((-114.172409190102 51.080385398986))
LU / OP / Closure (LOC),LOC1982-0093,Converted Job - Land Use Amendment,Refused,1982/05/10,1982/10/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0094,Converted Job - Land Use Amendment,Refused,1982/05/11,1982/09/20,,,,4515 MACLEOD TR SW,4515 MACLEOD TR SW,1,51.013269283949995,-114.06589930653362,MULTIPOINT ((-114.065899306534 51.01326928395))
LU / OP / Closure (LOC),LOC1982-0095,Converted Job - Land Use Amendment,Cancelled,1982/05/12,1983/01/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0096,Converted Job - Land Use Amendment,Approved,1982/05/13,1982/09/08,,,,,,,,,
LU / OP / Closure (LOC),LOC2001-0040,Land Use Amendment,Cancelled,2001/12/19,2002/12/24,CLARK & CLARK (LAWYERS),,,721 2 AV NE,721 2 AV NE,1,51.05455396859441,-114.04651406283578,MULTIPOINT ((-114.046514062836 51.054553968594))
LU / OP / Closure (LOC),LOC2001-2010,Converted Job - Outline Plan,Under Review,2001/03/13,,,,,2221 37 ST NW,,,,,
LU / OP / Closure (LOC),LOC1982-0097,Converted Job - Land Use Amendment,Approved,1982/05/14,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0098,Converted Job - Land Use Amendment,Approved,1982/05/14,1982/10/13,,,,,,,,,
LU / OP / Closure (LOC),LOC2021-0163,Land Use Amendment to accomodate M-CG,Submitted,2021/10/13,,HORIZON LAND SURVEYS,R-CG,M-CG,1603 38 AV SW,1603 38 AV SW,1,51.02004873034665,-114.09957915454812,MULTIPOINT ((-114.099579154548 51.020048730347))
LU / OP / Closure (LOC),LOC2019-0190,Land Use Amendment to accomodate R-C2,Approved,2019/12/11,2020/05/26,,R-C1,R-C2,5003 21 AV NW,5003 21 AV NW,1,51.07798541718808,-114.16235368562891,MULTIPOINT ((-114.162353685629 51.077985417188))
LU / OP / Closure (LOC),LOC1982-0099,Converted Job - Land Use Amendment,Approved,1982/05/18,1982/09/20,,,,1021 10 AV SW,1021 10 AV SW,1,51.043810611675426,-114.08498602333907,MULTIPOINT ((-114.084986023339 51.043810611675))
LU / OP / Closure (LOC),LOC1982-0100,Converted Job - Land Use Amendment,Approved,1982/05/20,1982/09/21,,,,3620 CEDARILLE DR SW,3620 CEDARILLE DR SW,1,50.95249687772692,-114.13457107131198,MULTIPOINT ((-114.134571071312 50.952496877727))
LU / OP / Closure (LOC),LOC2021-0121,,Cancelled,2021/07/20,2021/07/23,K5 DESIGNS,R-C2,R-CG,808 10 ST NE,808 10 ST NE,1,51.05881969924901,-114.03710602723041,MULTIPOINT ((-114.03710602723 51.058819699249))
LU / OP / Closure (LOC),LOC2021-0151,Land Use Amendment to accomodate C-R2,Submitted,2021/09/23,,CARSWELL PLANNING,DC,C-R2,2555 32 ST NE,2555 32 ST NE,1,51.074371509725545,-113.98893969975133,MULTIPOINT ((-113.988939699751 51.074371509726))
LU / OP / Closure (LOC),LOC1982-0101,Converted Job - Land Use Amendment,Cancelled,1982/05/21,1982/10/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0102,Converted Job - Land Use Amendment,Approved,1982/05/25,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC2001-5003,Converted Job - Road Closure,Approved,2001/01/15,,THE CITY OF CALGARY,,,,,,,,
LU / OP / Closure (LOC),LOC2020-0006,Land Use Amendment to accomodate R-CG,Approved,2020/01/16,2020/05/26,SINCLAIR SIGNATURE HOMES,DC,R-CG,3235 KINSALE RD SW,3235 KINSALE RD SW,1,51.02402080184876,-114.13732201609437,MULTIPOINT ((-114.137322016094 51.024020801849))
LU / OP / Closure (LOC),LOC1982-0103,Converted Job - Land Use Amendment,Approved,1982/05/27,1982/10/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0104,Converted Job - Land Use Amendment,Approved,1982/05/26,1983/03/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0105,Converted Job - Land Use Amendment,Approved,1982/05/28,1982/11/08,,,,324 ANDERSON RD SE,324 ANDERSON RD SE,1,50.95042708894363,-114.06168583011222,MULTIPOINT ((-114.061685830112 50.950427088944))
LU / OP / Closure (LOC),LOC1982-0106,Converted Job - Land Use Amendment,Cancelled,1982/05/31,1982/07/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0107,Converted Job - Land Use Amendment,Approved,1982/05/31,1982/09/21,,,,11220 30 ST SW,11220 30 ST SW,1,50.952380304518094,-114.12839123141688,MULTIPOINT ((-114.128391231417 50.952380304518))
LU / OP / Closure (LOC),LOC1982-0108,Converted Job - Land Use Amendment,Refused,1982/05/31,1982/10/13,,,,2520 ANDERSON RD SW,2520 ANDERSON RD SW,1,50.950911789093944,-114.12080725869437,MULTIPOINT ((-114.120807258694 50.950911789094))
LU / OP / Closure (LOC),LOC1982-0109,Converted Job - Land Use Amendment,Approved,1982/05/31,1982/11/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0110,Converted Job - Land Use Amendment,Cancelled,1982/05/31,1993/01/14,,,,6723 26 AV NE,6723 26 AV NE,1,51.07601817776123,-113.93711872133275,MULTIPOINT ((-113.937118721333 51.076018177761))
LU / OP / Closure (LOC),LOC1982-0111,Converted Job - Land Use Amendment,Approved,1982/06/03,1982/10/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0112,Converted Job - Land Use Amendment,Refused,1982/06/04,1982/10/12,,,,2818 39 ST SW,2818 39 ST SW,1,51.02827835927766,-114.1437991052588,MULTIPOINT ((-114.143799105259 51.028278359278))
LU / OP / Closure (LOC),LOC1982-0113,Converted Job - Land Use Amendment,Approved,1982/06/04,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC2001-5006,Converted Job - Road Closure,Approved,2001/02/26,,WALKER NEWBY SURVEYS INC,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0114,Converted Job - Land Use Amendment,Approved,1982/06/08,1982/09/21,,,,505 CANYON MEADOWS DR SW,505 CANYON MEADOWS DR SW,1,50.933115949386156,-114.07310896115887,MULTIPOINT ((-114.073108961159 50.933115949386))
LU / OP / Closure (LOC),LOC1982-0115,Converted Job - Land Use Amendment,Approved,1982/06/09,1982/09/21,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0116,Converted Job - Land Use Amendment,Approved,1982/06/10,1982/09/08,,,,114 18 AV SE,114 18 AV SE,1,51.037299138734994,-114.06304957791549,MULTIPOINT ((-114.063049577915 51.037299138735))
LU / OP / Closure (LOC),LOC1982-0117,Converted Job - Land Use Amendment,Approved,1982/04/01,1984/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0118,Converted Job - Land Use Amendment,Cancelled,1982/06/03,1982/10/25,,,,11010 BONAVENTURE DR SE,11010 BONAVENTURE DR SE,1,50.95417575994682,-114.06264835331639,MULTIPOINT ((-114.062648353316 50.954175759947))
LU / OP / Closure (LOC),LOC2021-0050,Land Use Amendment to accomodate C-N1,Cancelled,2021/03/29,2021/03/29,JAYMAN MASTERBUILT / WENDI INTERIORS,DC,C-N1,21 INVERNESS GR SE,21 INVERNESS GR SE,1,50.914686775079616,-113.96823665702142,MULTIPOINT ((-113.968236657021 50.91468677508))
LU / OP / Closure (LOC),LOC2021-0160,Land Use Amendment to accomodate R-C2,Submitted,2021/10/04,,NEW CENTURY DESIGN,R-C2,R-C2,806 14 ST SE,806 14 ST SE,1,51.03959638402757,-114.0283351855942,MULTIPOINT ((-114.028335185594 51.039596384028))
LU / OP / Closure (LOC),LOC1982-0119,Converted Job - Land Use Amendment,Refused,1982/06/10,1982/11/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0120,Converted Job - Land Use Amendment,Cancelled,1982/06/10,1982/08/24,,,,6315 RANCHVIEW DR NW,6315 RANCHVIEW DR NW,1,51.11542811993666,-114.1813745531868,MULTIPOINT ((-114.181374553187 51.115428119937))
LU / OP / Closure (LOC),LOC1982-0121,Converted Job - Land Use Amendment,Approved,1982/06/30,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0122,Converted Job - Land Use Amendment,Approved,1982/06/15,1983/06/13,,,,1011 6 AV SW,1011 6 AV SW,1,51.04794645897017,-114.08474581025636,MULTIPOINT ((-114.084745810256 51.04794645897))
LU / OP / Closure (LOC),LOC1982-0123,Converted Job - Land Use Amendment,Approved,1982/06/16,1983/03/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0124,Converted Job - Land Use Amendment,Approved,1982/06/30,1982/09/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0125,Converted Job - Land Use Amendment,Approved,1982/06/15,1982/09/21,,,,15208 SHAW RD SE,15208 SHAW RD SE,1,50.91666727871713,-114.06890021544459,MULTIPOINT ((-114.068900215445 50.916667278717))
LU / OP / Closure (LOC),LOC1982-0126,Converted Job - Land Use Amendment,Refused,1982/06/22,1983/01/17,,,,,,,,,
LU / OP / Closure (LOC),LOC2021-0139,Land Use Amendment to accomodate S-CS,Submitted,2021/09/09,,TRELLIS SOCIETY FOR COMMUNITY IMPACT,DC,S-CS,731 13 AV NE,731 13 AV NE,1,51.06404774952945,-114.04710096549425,MULTIPOINT ((-114.047100965494 51.064047749529))
LU / OP / Closure (LOC),LOC1982-0127,Converted Job - Land Use Amendment,Approved,1982/06/22,1982/09/20,,,,927 43 ST SE,927 43 ST SE,1,51.044165720466104,-113.97161379813296,MULTIPOINT ((-113.971613798133 51.044165720466))
